command,repos
akonadi_pop3_resource,extra
akonadi_rds,extra
akonadi_sendlater_agent,extra
akonadi_unifiedmailbox_agent,extra
akonadi_vcard_resource,extra
akonadi_vcarddir_resource,extra
akonadiagentconfigdialog,extra
akonadiconsole,extra
akonadictl,extra
akonadiimportwizard,extra
akonadiselftest,extra
akonadiserver,extra
akonaditest,extra
akregator,extra
akregatorstorageexporter,extra
al,extra
al2,extra
alacarte,extra
alacritty,extra
albatross,extra
alc,extra
alcc,extra
aldebug,extra
aldirect,extra
alembic,extra
aleph,extra
alertmanager,extra
alex,extra
alffplay,extra
algernon,extra
alhrtf,extra
ali,extra
alicloud-vault,extra
align,extra
align_image_stack,extra
aliki,extra
aliki-rt,extra
alive2map.sh,extra
alive6,extra
aliyun,extra
allafplay,extra
allatency,extra
allcm,extra
alldefconfig,extra
allec,extra
allegro-config,extra
allfaces,extra
allfaces_gmp,extra
alligator,extra
allmodconfig,extra
allneeded,extra
allnoconfig,extra
alloopback,extra
allyesconfig,extra
almanah,extra
almultireverb,extra
alot,extra
alpine-chroot-install,extra
alplay,extra
alpm-buildinfo,extra
alpm-db-desc,extra
alpm-db-files,extra
alpm-lint,extra
alpm-mtree,extra
alpm-pkgbuild-bridge,extra
alpm-pkginfo,extra
alpm-repo-desc,extra
alpm-repo-files,extra
alpm-soname,extra
alpm-srcinfo,extra
alrecord,extra
alreverb,extra
als,extra
alsa-info.sh,extra
alsa-scarlett-gui,extra
alsa_delay,extra
alsa_in,extra
alsa_loopback,extra
alsa_out,extra
alsabat,extra
alsabat-test.sh,extra
alsactl,extra
alsaloop,extra
alsamixer,extra
alsatplg,extra
alsaucm,extra
alsoft-config,extra
alstream,extra
altonegen,extra
alurecdplay,extra
alureplay,extra
alurestream,extra
amarok,extra
amarok_afttagger,extra
amarokcollectionscanner,extra
amavisd,extra
amavisd-agent,extra
amavisd-milter,extra
amavisd-nanny,extra
amavisd-release,extra
amavisd-signer,extra
amavisd-snmp-subagent,extra
amavisd-snmp-subagent-zmq,extra
ambdec,extra
ambdec_cli,extra
amberol,extra
ambiguous_words,extra
amd-bios,extra
amd-ctk,extra
amd-pstate,extra
amd-s2idle,extra
amd-ttm,extra
amd_hdmi_compliance,extra
amdgpu-arch,extra
amdgpu_stress,extra
amdgpu_top,extra
ameba,extra
ameba-ls,extra
amfora,extra
amidi,extra
amixer,extra
amk_ccc,extra
amk_fft2,extra
amk_grf,extra
amk_hy,extra
amk_m2,extra
amk_p2,extra
amm,extra
ampctl,extra
ampctld,extra
amqp-consume,extra
amqp-declare-queue,extra
amqp-delete-queue,extra
amqp-get,extra
amqp-publish,extra
amrnb-dec,extra
amrnb-enc,extra
amrwb-dec,extra
ams,extra
ams_driver,extra
amstex,extra
amsynth,extra
amtog,extra
amtool,extra
amuFormat.sh,extra
amule,extra
amulecmd,extra
amuled,extra
amulegui,extra
amuleweb,extra
anacron,extra
analyseplugin,extra
analyze,extra
analyze-build,extra
analyze-tiers.py,extra
ananicy-cpp,extra
ananta,extra
anariInfo,extra
anariRenderTests,extra
ancestorg,extra
andotp2john,extra
android-file-transfer,extra
android2po,extra
android_deploy.py,extra
androidbackup2john,extra
androiddeployqt6,extra
androidfde2john,extra
androidqf,extra
anewer,extra
angband,extra
angelfish,extra
angelfish-webapp,extra
anim_diff,extra
anim_dump,extra
animate,extra
anki,extra
ankiw,extra
annotate,extra
ansi2html,extra
ansible,extra
ansible-bender,extra
ansible-community,extra
ansible-config,extra
ansible-console,extra
ansible-creator,extra
ansible-doc,extra
ansible-galaxy,extra
ansible-inventory,extra
ansible-lint,extra
ansible-navigator,extra
ansible-playbook,extra
ansible-pull,extra
ansible-runner,extra
ansible-test,extra
ansible-vault,extra
ansible2john,extra
ant,extra
anthy-agent,extra
anthy-dic-tool,extra
anthy-morphological-analyzer,extra
antimicrox,extra
antiword,extra
antlr4,extra
anubis,extra
anubis-iplist2rule,extra
anubis-robots2policy,extra
any2djvu,extra
anything-sync-daemon,extra
anytopnm,extra
anytovcd.sh,extra
aom-fullref,extra
aomdec,extra
aomenc,extra
aoss,extra
apachectl,extra
apack,extra
apcaccess,extra
apctest,extra
apcupsd,extra
apex2john,extra
apfs-label,extra
apfs-snap,extra
apfs2hashcat.py,extra
apfsck,extra
apitrace,extra
apk,extra
apkbuild-cpan,extra
apkbuild-fixer,extra
apkbuild-gem-resolver,extra
apkbuild-lint,extra
apkbuild-pypi,extra
apkgrel,extra
apkinfo,extra
apko,extra
apksigcopier,extra
aplay,extra
aplaymidi,extra
aplaymidi2,extra
aplist,extra
aports-lint,extra
apostrophe,extra
app-icon-preview,extra
app-identifier,extra
app.drey.Biblioteca,extra
app.drey.Elastic,extra
apparmor_parser,extra
apparmor_status,extra
appdata2solv,extra
append2simg,extra
applenotes2john,extra
applycal,extra
applygeo,extra
applygnupgdefaults,core
applyplugin,extra
appres,extra
apprise,extra
appstream-builder,extra
appstream-compose,extra
appstream-generator,extra
appstream-util,extra
appstreamcli,extra
apptainer,extra
apr-1-config,extra
aprofutil,extra
apropos,core;extra
apsw,extra
apt,extra
apt-cache,extra
apt-cdrom,extra
apt-config,extra
apt-ftparchive,extra
apt-get,extra
apt-mark,extra
apt-sortpkgs,extra
apt-swarm,extra
apu-1-config,extra
apxs,extra
aqbanking-cli,extra
aqbanking-config,extra
aqebics-tool,extra
aqhbci-tool4,extra
aqofxconnect-tool,extra
aqpaypal-tool,extra
ar,core
arandr,extra
arara,extra
arb2po,extra
arbfplight,extra
arbfplight32,multilib
arbfslight,extra
arbfslight32,multilib
arbocclude,extra
arbocclude2,extra
arbocclude232,multilib
arbocclude32,multilib
arbtt-capture,extra
arbtt-dump,extra
arbtt-import,extra
arbtt-recover,extra
arbtt-stats,extra
arca,extra
arch-audit,extra
arch-audit-gtk,extra
arch-chroot,extra
arch-hs,extra
arch-hs-diff,extra
arch-hs-rdepcheck,extra
arch-hs-sync,extra
arch-meson,extra
arch-meson-check-wraps,extra
arch-nspawn,extra
arch-pkg-repo-updater,extra
arch-rebuild-order,extra
arch-release-promotion,extra
arch-release-sync,extra
arch-repro-status,extra
archbuild,extra
archinstall,extra
archive,extra
archive-cleaner,extra
archive.inn,extra
archive_color,extra
archlinux-java,extra
archlinux-keyring-wkd-sync,core
archlinux-repro,extra
archlinux-userland-fs-cmp,extra
archpkgs2solv,extra
archrelease,extra
archrepo2solv,extra
arcsign,extra
arcverify,extra
ardour9,extra
ardour9-export,extra
ardour9-lua,extra
ardour9-new_empty_session,extra
ardour9-new_session,extra
arduino-cli,extra
arduino-fwuploader,extra
arduino-language-server,extra
aread,extra
arecord,extra
arecordmidi,extra
arecordmidi2,extra
arepack,extra
ares,extra
argbash,extra
argbash-1to2,extra
argbash-init,extra
argo,extra
argocd,extra
argocd-application-controller,extra
argocd-cmp-server,extra
argocd-dex,extra
argocd-git-ask-pass,extra
argocd-notifications,extra
argocd-repo-server,extra
argocd-server,extra
argon2,extra
argparse-manpage,extra
aria2c,extra
aria_chk,extra
aria_dump_log,extra
aria_ftdump,extra
aria_pack,extra
aria_read_log,extra
aria_s3_copy,extra
arianna,extra
ario,extra
arithmetic,extra
arj,extra
arj-register,extra
arjdisp,extra
ark,extra
arlatex,extra
arm-none-eabi-addr2line,extra
arm-none-eabi-ar,extra
arm-none-eabi-as,extra
arm-none-eabi-c++,extra
arm-none-eabi-c++filt,extra
arm-none-eabi-cpp,extra
arm-none-eabi-elfedit,extra
arm-none-eabi-g++,extra
arm-none-eabi-gcc,extra
arm-none-eabi-gcc-16.2.0,extra
arm-none-eabi-gcc-ar,extra
arm-none-eabi-gcc-nm,extra
arm-none-eabi-gcc-ranlib,extra
arm-none-eabi-gcov,extra
arm-none-eabi-gcov-dump,extra
arm-none-eabi-gcov-tool,extra
arm-none-eabi-gdb,extra
arm-none-eabi-gdb-add-index,extra
arm-none-eabi-gprof,extra
arm-none-eabi-gstack,extra
arm-none-eabi-ld,extra
arm-none-eabi-ld.bfd,extra
arm-none-eabi-lto-dump,extra
arm-none-eabi-nm,extra
arm-none-eabi-objcopy,extra
arm-none-eabi-objdump,extra
arm-none-eabi-ranlib,extra
arm-none-eabi-readelf,extra
arm-none-eabi-size,extra
arm-none-eabi-strings,extra
arm-none-eabi-strip,extra
armagetronad,extra
armagetronad-master,extra
arp,core
arp-fingerprint,extra
arp-scan,extra
arpaname,extra
arpd,core
arping,core
arpsnmp,extra
arpspoof,extra
arptables,core
arptables-nft,core
arptables-nft-restore,core
arptables-nft-save,core
arptables-restore,core
arptables-save,core
arptables-translate,core
arpwatch,extra
array,extra
