desktop_id,repos
distccmon-gnome,extra
djvulibre-djview4,extra
dk.gqrx.gqrx,extra
dmd-doc,extra
dms-open,extra
dolphin-emu,extra
doomretro,extra
dopewars,extra
dosbox,extra
dosemu,extra
doublecmd,extra
downloader,extra
drawio,extra
drracket,extra
dvdstyler,extra
dwarffortress,extra
e16,extra
easytag,extra
ebumeter,extra
ecrire,extra
edu.stanford.ccrma.snd,extra
edu.stanford.ccrma.snd-ruby,extra
edu.stanford.ccrma.snd-s7,extra
electrum,extra
element,extra
elementary_config,extra
elementary_perf,extra
elementary_test,extra
emacs,extra
emacs-mail,extra
emacsclient,extra
emacsclient-mail,extra
emby-theater,extra
emixer,extra
emoji-picker,extra
engrampa,extra
enlightenment_askpass,extra
enlightenment_filemanager,extra
enlightenment_fprint,extra
enlightenment_paledit,extra
envy24control,extra
eom,extra
ephoto,extra
etherape,extra
ettercap,extra
eu.fortysixandtwo.chessclock,extra
eu.qtrac.diffpdf,extra
eu.scarpetta.PDFMixTool,extra
evisum,extra
f3d,extra
f3d-plugin-alembic,extra
f3d-plugin-assimp,extra
f3d-plugin-draco,extra
f3d-plugin-hdf,extra
f3d-plugin-native,extra
f3d-plugin-occt,extra
f3d-plugin-usd,extra
f3d-plugin-vdb,extra
fceux,extra
fcitx5-configtool,extra
fcitx5-wayland-launcher,extra
feathernotes,extra
featherpad,extra
feh,extra
feishin,extra
filezilla,extra
fillets-ng,extra
fingerterm,extra
firefox,extra
firefox-developer-edition,extra
firejail-ui,extra
firetools,extra
firewall-config,extra
flobopuyo,extra
fltk-options,extra
fluid,extra
fluid1.3,extra
fnott,extra
focuswriter,extra
foot,extra
foot-server,extra
footclient,extra
fr.handbrake.ghb,extra
freecol,extra
freewheeling,extra
fs-uae,extra
fs-uae-launcher,extra
ft2-clone,extra
fte,extra
furnace,extra
fwbuilder,extra
gala,extra
gala-multitaskingview,extra
gala-other,extra
gala-wayland,extra
galculator,extra
gambas3,extra
gammastep,extra
gammastep-indicator,extra
garden.jamie.Morphosis,extra
gbrainy,extra
gcdmaster,extra
gcin-tools,extra
gcm-import,extra
gcm-picker,extra
gcr-prompter,extra
gcr-viewer,extra
geany,extra
geary-autostart,extra
geoclue-demo-agent,extra
geoclue-where-am-i,extra
geogebra,extra
geonkick,extra
geotag,extra
ghidra,extra
gigedit,extra
giggle,extra
gigolo,extra
gimagereader-gtk,extra
gimagereader-qt6,extra
gimp,extra
git-annex,extra
gkbd-keyboard-display,extra
glabels-3,extra
glacier-calc,extra
glob2,extra
gloobus-preview,extra
gmic_qt,extra
gmtp,extra
gnac,extra
gnome-about-panel,extra
gnome-appfolders-manager,extra
gnome-applications-panel,extra
gnome-background-panel,extra
gnome-bluetooth-panel,extra
gnome-color-panel,extra
gnome-datetime-panel,extra
gnome-disk-image-mounter,extra
gnome-disk-image-writer,extra
gnome-display-panel,extra
gnome-flashback,extra
gnome-genius,extra
gnome-initial-setup,extra
gnome-keyboard-panel,extra
gnome-mouse-panel,extra
gnome-mplayer,extra
gnome-multitasking-panel,extra
gnome-nettool,extra
gnome-network-panel,extra
gnome-notifications-panel,extra
gnome-online-accounts-gtk,extra
gnome-online-accounts-panel,extra
gnome-panel,extra
gnome-pie,extra
gnome-power-panel,extra
gnome-printers-panel,extra
gnome-privacy-panel,extra
gnome-region-panel,extra
gnome-search-panel,extra
gnome-sharing-panel,extra
gnome-software-local-file-flatpak,extra
gnome-software-local-file-fwupd,extra
gnome-software-local-file-metainfo,extra
gnome-sound-panel,extra
gnome-system-monitor-kde,extra
gnome-system-panel,extra
gnome-universal-access-panel,extra
gnome-user-share-webdav,extra
gnome-users-panel,extra
gnome-wacom-panel,extra
gnome-wellbeing-panel,extra
gnome-wifi-panel,extra
gnome-wwan-panel,extra
gnubiff,extra
gnucash,extra
gnujump,extra
gnuradio-grc,extra
goattracker,extra
gobby-0.5,extra
gogglesmm,extra
google-maps-geo-handler,extra
gpac,extra
gparted,extra
gpgui,extra
gpicview,extra
gpk-log,extra
gpk-prefs,extra
gpodder,extra
gpodder-url-handler,extra
gprename,extra
gpsbabel,extra
gpscorrelate,extra
gpsprune,extra
gpu-screen-recorder,extra
gpxsee,extra
grafx2,extra
griffith,extra
groovy,extra
grsync,extra
gscriptor,extra
gsmartcontrol,extra
gtk-lshw,extra
gtk3-demo,extra
gtk3-icon-browser,extra
gtk3-widget-factory,extra
gtkwave,extra
guake,extra
guake-prefs,extra
gucharmap,extra
gufw,extra
guitarix,extra
gummi,extra
gupnp-av-cp,extra
gupnp-network-light,extra
gupnp-universal-cp,extra
guvcview,extra
guvcview-qt,extra
gvim,extra
gwakeonlan,extra
gxkb,extra
gxmessage,extra
hardinfo2,extra
hatari,extra
hdajackretask,extra
hdspconf,extra
hdspmixer,extra
hedgewars,extra
heimdall,extra
highlight,extra
homebank,extra
hp-uiscan,extra
hplip,extra
htmldoc,extra
htop,extra
hu.irl.cameractrls,extra
hugin,extra
hugin_toolbox_gui,extra
hwmixvolume,extra
hypnotix,extra
hyprpwcenter,extra
i3,extra
ibus-setup-anthy,extra
ibus-setup-chewing,extra
ibus-setup-hangul,extra
ibus-setup-kkc,extra
ibus-setup-libbopomofo,extra
ibus-setup-libpinyin,extra
ibus-setup-skk,extra
ibus-setup-table,extra
ibus-setup-tb,extra
ibus-setup-typing-booster,extra
ida,extra
idea,extra
im.dino.Dino,extra
im.kaidan.kaidan,extra
imv,extra
imv-dir,extra
indicator-china-weather,extra
info.bibletime.BibleTime,extra
info.febvre.Komikku,extra
info.mumble.Mumble,extra
io.bassi.Amberol,extra
io.dbeaver.DBeaver,extra
io.element.Element,extra
io.elementary.calculator,extra
io.elementary.calendar,extra
io.elementary.camera,extra
io.elementary.capnet-assist,extra
io.elementary.code,extra
io.elementary.desktop.agent-geoclue2,extra
io.elementary.desktop.agent-polkit,extra
io.elementary.files,extra
io.elementary.granite-7.demo,extra
io.elementary.granite.demo,extra
io.elementary.greeter,extra
io.elementary.mail,extra
io.elementary.music,extra
io.elementary.notifications.demo,extra
io.elementary.onboarding,extra
io.elementary.photos,extra
io.elementary.photos.viewer,extra
io.elementary.screenshot,extra
io.elementary.settings,extra
io.elementary.shortcut-overlay,extra
io.elementary.sideload,extra
io.elementary.tasks,extra
io.elementary.terminal,extra
io.elementary.videos,extra
io.elementary.wingpanel,extra
io.github.OpenToonz,extra
io.github.Qalculate.qalculate-qt,extra
io.github.TransmissionRemoteGtk,extra
io.github.alainm23.planify,extra
io.github.antimicrox.antimicrox,extra
io.github.arunsivaramanneo.GPUViewer,extra
io.github.benapetr.TuxManager,extra
io.github.benjamimgois.goverlay,extra
io.github.celluloid_player.Celluloid,extra
io.github.dagargo.Elektroid,extra
io.github.dagargo.Overwitch,extra
io.github.daid.EmptyEpsilon,extra
io.github.diegoivan.pdf_metadata_editor,extra
io.github.dvlv.boxbuddyrs,extra
io.github.endless_sky.endless_sky,extra
io.github.finefindus.Hieroglyphic,extra
io.github.fizzyizzy05.binary,extra
io.github.flattool.Warehouse,extra
io.github.guillaumechereau.Goxel,extra
io.github.idevecore.Valuta,extra
io.github.ilya_zlobintsev.LACT,extra
io.github.input_leap.input-leap,extra
io.github.iptux_src.iptux,extra
io.github.jliljebl.Flowblade,extra
io.github.kolunmi.Bazaar,extra
io.github.lincity_ng.lincity-ng,extra
io.github.linx_systems.ClamUI,extra
io.github.martinrotter.rssguard,extra
io.github.michaelwillis.DragonflyEarlyReflections,extra
io.github.michaelwillis.DragonflyHallReverb,extra
io.github.michaelwillis.DragonflyPlateReverb,extra
io.github.michaelwillis.DragonflyRoomReverb,extra
io.github.mightycreak.Diffuse,extra
io.github.mrvladus.List,extra
io.github.muse_sequencer.Muse,extra
io.github.quodlibet.ExFalso,extra
io.github.quodlibet.QuodLibet,extra
io.github.seadve.Kooha,extra
io.github.seadve.Mousai,extra
io.github.thetumultuousunicornofdarkness.cpu-x,extra
io.github.trufae.Parla,extra
io.github.xyproto.zsnes,extra
io.gitlab.adhami3310.Converter,extra
io.gitlab.adhami3310.Impression,extra
io.gitlab.gregorni.Letterpress,extra
io.gitlab.liferooter.TextPieces,extra
io.gitlab.metadatacleaner.metadatacleaner,extra
io.gitlab.news_flash.NewsFlash,extra
io.mgba.mGBA,extra
io.missioncenter.MissionCenter,extra
io.openrct2.openrct2,extra
io.openrct2.savegame,extra
io.openrct2.scenario,extra
io.openrct2.uri,extra
io.otsaloma.gaupol,extra
io.otsaloma.nfoview,extra
io.podman_desktop.PodmanDesktop,extra
io.polyphone.polyphone,extra
ipython,extra
isd,extra
it.cuteworks.pacmanlogviewer,extra
itweb-settings,extra
jack_mixer,extra
jadx-gui,extra
jalv,extra
java-java-openjdk,extra
java-java11-openjdk,extra
java-java17-openjdk,extra
java-java21-openjdk,extra
java-java25-openjdk,extra
javaws,extra
jconsole-java-openjdk,extra
jconsole-java11-openjdk,extra
jconsole-java17-openjdk,extra
jconsole-java21-openjdk,extra
jconsole-java25-openjdk,extra
jgmenu,extra
jmacs,extra
joe,extra
jpico,extra
jsampler,extra
jsampler-classic,extra
jshell-java-openjdk,extra
jshell-java11-openjdk,extra
jshell-java17-openjdk,extra
jshell-java21-openjdk,extra
jshell-java25-openjdk,extra
jstar,extra
julia,extra
jupyter-notebook,extra
jupyter-qtconsole,extra
jupyterlab,extra
kaccess,extra
kaddressbook-importer,extra
kaddressbook-view,extra
kbd-layout-viewer5,extra
kbd-layout-viewer6,extra
kcm_about-distro,extra
kcm_access,extra
kcm_activities,extra
kcm_animations,extra
kcm_animations_x11,extra
kcm_app-permissions,extra
kcm_audiocd,extra
kcm_autostart,extra
kcm_baloofile,extra
kcm_bluetooth,extra
kcm_bolt,extra
kcm_bookmarks,extra
kcm_breezedecoration,extra
kcm_cddb,extra
kcm_cellular_network,extra
kcm_clock,extra
